map_reduce.id,map_reduce.sumscore,map_reduce.displayname,map_reduce.location
2384815,77,MaxNevermind,Moscow
3585432,72,Aleksei Shestakov,Russia
217079,71,Dmitry,"Moscow, Russia"
1289981,63,maxteneff,"Moscow, Russia"
2513573,58,AdamSkywalker,"Moscow, Russia"
462242,45,rystsov,"St. Petersburg, Russia"
3768117,45,MichealKum,Russia
3084258,45,Philip Voronov,"St. Petersburg, Russia"
3537941,39,fi11er,"Moscow, Russia"
454219,34,Alexander Kuznetsov,"Saratov, Russia"
2232044,28,Sergey Morozov,"St. Petersburg, Russia"
923498,24,Alexander Tokarev,"Moscow, Russia"
5793987,20,gudok,"Moscow, Russia"
3386820,20,Konstantin Svintsov,"Novosibirsk, Russia"
3579309,20,lovasoa,"Moscow, Russia"
599893,20,Lev Khomich,Russia
9204,19,Alexey Romanov,"Moscow, Russia"
95050,15,Yury Litvinov,"St. Petersburg, Russia"
193622,15,ponkin,Russia
55159,14,Quassnoi,"Moscow, Russia"
792313,13,snowindy,"Moscow, Russia"
2067335,13,Lagrang,Russia
1954661,12,Alex Dvoretsky,"Moscow, Russia"
2622697,12,shutty,Russia
5534859,12,serge_k,"Moscow, Russia"
2427222,12,ymonad,Russia
1265154,10,alko,"Russia, Saint-Petersbourg"
10681828,10,pavel_orekhov,Russia
2032701,9,Ruslan,"Moscow, Russia"
8172405,8,Sergey Ovodov,"St Petersburg, Russia"
7101176,7,Dennis Tsvetkov,"Saint Petersburg, Russia"
148405,6,Oleg Svechkarenko,Russia
941206,6,Wildfire,"St. Petersburg, Russia"
9145106,6,GoodDok,"St Petersburg, Saint Petersburg, Russia"
1247136,6,mr0re1,"Saratov, Russia"
764191,6,SChepurin,Russia
1026,6,Nickolay,"Moscow, Russia"
395616,6,loentar,"Penza, Russian Federation"
706112,6,Alexander Verbitsky,"Moscow, Russia"
298389,6,om-nom-nom,"Russia, Saint-Petersburg"
8442366,5,Eugene Lopatkin,"Moscow, Russia"
1192987,5,Nikita Bosik,Russia
2280027,5,yazabara,"Tver', Russia"
1395198,5,Ivan Klass,"Tomsk, Russia"
68998,4,newtover,"St. Petersburg, Russia"
4504064,4,Andrey Kudryavtsev,"Moscow, Russia"
1177597,4,Viacheslav Dobromyslov,"Vladivostok, Russia"
6211432,4,Roman Zavodskikh,"Moscow, Russia"
7331039,4,Nikolay Tikhonov,"St Petersburg, Saint Petersburg, Russia"
1031979,4,Zernike,Russia
